base_gen_project,retrofit_gen_project
Shanxi-EP_Coal_600_DRY-ep-194,Shanxi-EP_Coal_600_DRY-ep-194_H2
Shanxi-EP_Coal_600_DRY-ep-195,Shanxi-EP_Coal_600_DRY-ep-195_H2
Shanxi-EP_Coal_600_DRY-ep-196,Shanxi-EP_Coal_600_DRY-ep-196_H2
Shanxi-EP_Coal_600_DRY-ep-197,Shanxi-EP_Coal_600_DRY-ep-197_H2
Shanxi-EP_Coal_600_DRY-ep-200,Shanxi-EP_Coal_600_DRY-ep-200_H2
Shanxi-EP_Coal_600_DRY-ep-201,Shanxi-EP_Coal_600_DRY-ep-201_H2
Shanxi-EP_Coal_600_DRY-ep-202,Shanxi-EP_Coal_600_DRY-ep-202_H2
Shanxi-EP_Coal_600_DRY-ep-203,Shanxi-EP_Coal_600_DRY-ep-203_H2
Shanxi-EP_Coal_600_DRY-ep-206,Shanxi-EP_Coal_600_DRY-ep-206_H2
Shanxi-EP_Coal_600_DRY-ep-207,Shanxi-EP_Coal_600_DRY-ep-207_H2
Shanxi-EP_Coal_600_DRY-ep-208,Shanxi-EP_Coal_600_DRY-ep-208_H2
Shanxi-EP_Coal_600_DRY-ep-209,Shanxi-EP_Coal_600_DRY-ep-209_H2
Shanxi-EP_Coal_600_DRY-ep-212,Shanxi-EP_Coal_600_DRY-ep-212_H2
Shanxi-EP_Coal_600_DRY-ep-213,Shanxi-EP_Coal_600_DRY-ep-213_H2
Shanxi-EP_Coal_600_DRY-ep-214,Shanxi-EP_Coal_600_DRY-ep-214_H2
Shanxi-EP_Coal_600_DRY-ep-215,Shanxi-EP_Coal_600_DRY-ep-215_H2
Shanxi-EP_Coal_600_DRY-ep-216,Shanxi-EP_Coal_600_DRY-ep-216_H2
Shanxi-EP_Coal_600_DRY-ep-217,Shanxi-EP_Coal_600_DRY-ep-217_H2
Shanxi-EP_Coal_600_DRY-ep-218,Shanxi-EP_Coal_600_DRY-ep-218_H2
Shanxi-EP_Coal_600_DRY-ep-219,Shanxi-EP_Coal_600_DRY-ep-219_H2
Shanxi-EP_Coal_600_DRY-ep-3022,Shanxi-EP_Coal_600_DRY-ep-3022_H2
Shanxi-EP_Coal_600_DRY-ep-3023,Shanxi-EP_Coal_600_DRY-ep-3023_H2
Shanxi-EP_Coal_600_DRY-ep-3024,Shanxi-EP_Coal_600_DRY-ep-3024_H2
Shanxi-EP_Coal_600_DRY-ep-3025,Shanxi-EP_Coal_600_DRY-ep-3025_H2
Shanxi-EP_Coal_600_RC-ep-198,Shanxi-EP_Coal_600_RC-ep-198_H2
Shanxi-EP_Coal_600_RC-ep-199,Shanxi-EP_Coal_600_RC-ep-199_H2
Shanxi-EP_Coal_600_RC-ep-204,Shanxi-EP_Coal_600_RC-ep-204_H2
Shanxi-EP_Coal_600_RC-ep-205,Shanxi-EP_Coal_600_RC-ep-205_H2
Shanxi-EP_Coal_600_RC-ep-210,Shanxi-EP_Coal_600_RC-ep-210_H2
Shanxi-EP_Coal_600_RC-ep-211,Shanxi-EP_Coal_600_RC-ep-211_H2
Shanxi-EP_Coal_600_RC-ep-220,Shanxi-EP_Coal_600_RC-ep-220_H2
Shanxi-EP_Coal_600_RC-ep-221,Shanxi-EP_Coal_600_RC-ep-221_H2
Shanxi-EP_Coal_600_RC-ep-222,Shanxi-EP_Coal_600_RC-ep-222_H2
Shanxi-EP_Coal_600_RC-ep-223,Shanxi-EP_Coal_600_RC-ep-223_H2
